품목명,HS코드
그 밖의 과불화옥탄술폰산의 염,2904350000
과불화옥탄술포닐플루오라이드 ,2904360000
트리클로로니트로메탄(클로로피크린),2904910000
메탄올(메틸알코올),2905110000
1-프로판올(프로필알코올),2905121000
2-프로판올(이소프로필알코올),29051220
1-부탄올(노르말-부틸알코올),2905130000
그 밖의 부탄올,2905140000
2-에틸헥실알코올,2905161000
1-도데칸올(라우릴알코올),2905171000
1-헥사데칸올(세틸알코올),2905172000
1-옥타데칸올(스테아릴알코올),2905173000
헵틸알코올,2905191000
노닐알코올,2905192000
이소노닐알코올,2905193000
펜탄올(아밀알코올)과 그 이성체,2905194000
"3,3-디메틸부탄-2-올(피나코릴 알코올)",2905199010
2-프로필 헵틸 알코올,2905199020
이소데실 알코올,2905199030
게라니올ㆍ시트로네롤ㆍ리날롤ㆍ로디놀ㆍ네롤,2905221000
에틸렌글리콜(에탄디올),2905310000
"프로필렌글리콜(프로판-1,2-디올)",2905320000
"1,4-부탄디올",2905391000
네오펜틸 글리콜,2905392000
"2-에틸-2-(히드록시메틸)프로판-1,3-디올(트리메틸올프로판)",2905410000
펜타에리트리톨,2905420000
만니톨,2905430000
디-글루시톨(소르비톨),2905440000
글리세롤,2905450000
에스클로비놀(INN),2905510000
멘톨,2906110000
시클로헥산올ㆍ메틸시클로헥산올ㆍ디메틸시클로헥산올,2906120000
스테롤,2906131000
이노시톨,2906132000
보르네올,2906191000
테르피네올,2906192000
벤질알코올,2906210000
페놀,2907111000
페놀의 염,2907112000
크레졸,2907121000
크레졸의 염,2907122000
옥틸페놀,2907131000
노닐페놀,2907132000
나프톨,2907151000
나프톨의 염,2907152000
티몰,2907191000
크실레놀과 이들의 염,2907192000
레조르시놀,2907211000
레조르시놀의 염,2907212000
히드로퀴논,2907221000
히드로퀴논의 염,2907222000
"4,4´-이소프로필리덴디페놀(비스페놀에이)",2907231000
"4,4´-이소프로필리덴디페놀(비스페놀에이)의 염",2907232000
카테콜,2907291000
펜타클로로페놀(ISO),2908110000
클로로페놀(펜타클로로페놀은 제외한다),2908191000
테트라브로모비스페놀에이,2908192000
트리브로모페놀,2908193000
디노셉(ISO)과 그 염,2908910000
"4,6-디니트로-오르토-크레졸[DNOC(ISO)]과 그 염",2908920000
디에틸에테르,2909110000
비스(클로로메틸)에테르,2909191000
메틸터샤리 부틸에테르,2909192000
포화지환식ㆍ불포화지환식ㆍ시클로테르펜에테르와 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,2909200000
아니솔,2909301000
아네톨,2909302000
디페닐 에테르,2909303000
앰브렛 머스크,2909304000
데카브로모디페닐 옥사이드(데카브로모디페닐 에테르),2909305000
"2,2'-옥시디에탄올(디에틸렌글리콜, 디골)",2909410000
에틸렌글리콜의 모노부틸에테르와 디에틸렌글리콜의 모노부틸에테르,2909430000
에틸렌글리콜의 모노메틸에테르와 디에틸렌글리콜의 모노메틸에테르,2909441000
트리에틸렌 글리콜,2909491000
"에테르페놀, 에테르알코올페놀과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체",2909500000
과산화알코올,2909601000
디쿠밀퍼록사이드,2909602000
메틸에틸케톤퍼록사이드,2909603000
과산화아세탈과 과산화헤미아세탈,2909604000
옥시란(에틸렌옥사이드),2910100000
메틸옥시란(프로필렌옥사이드),2910200000
"1-클로로-2,3-에폭시프로판(에피클로로히드린)",2910300000
"디엘드린(ISO, INN)",2910400000
엔드린(ISO),2910500000
아세탈ㆍ헤미아세탈(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,2911000000
메탄알(포름알데히드),2912110000
에탄알(아세트알데히드),2912120000
"부탄알(부티르알데히드, 노르말-이성체)",2912193000
벤즈알데히드,2912210000
바닐린(4-히드록시-3-메톡시벤즈알데히드),2912410000
에틸바닐린(3-에톡시-4-히드록시벤즈알데히드),2912420000
알데히드의 환식중합체,2912500000
파라포름알데히드,2912600000
제2912호의 물품의 할로겐화유도체ㆍ술폰화유도체ㆍ니트로화유도체ㆍ니트로소화유도체,2913000000
아세톤,2914110000
부탄온(메틸에틸케톤),2914120000
4-메틸펜탄-2-온(메틸이소부틸케톤),2914130000
시클로헥사논,2914221000
메틸시클로헥사논,2914222000
이오논,2914231000
메틸이오논,2914232000
자스몬,2914291000
페닐아세톤(페닐프로판-2-온),2914310000
디아세톤 알코올(4-히드록시-4-메틸펜탄-2-온),2914401000
케톤-페놀,2914501000
안트라퀴논,2914610000
코엔자임 Q10[유비데카레논(INN)],2914620000
안트라퀴논의 유도체,2914691000
클로르데콘(ISO),2914710000
포름산,2915110000
포름산 칼슘,2915121000
포름산의 에스테르,2915130000
초산,2915210000
무수(無水)초산,2915240000
초산칼슘,2915291000
초산나트륨,2915292000
초산코발트,2915293000
초산에틸,2915310000
초산비닐,2915320000
초산디노셉(ISO),2915360000
초산아밀,2915391000
초산이소아밀,2915392000
초산메틸,2915393000
초산이소부틸,2915394000
초산2-에톡시에틸,2915395000
모노클로로 아세트산,2915401000
"프로피온산, 그 염과 에스테르",2915500000
"부탄산ㆍ펜탄산, 이들의 염과 에스테르",2915600000
"팔미트산, 그 염과 에스테르",2915701000
"스테아르산, 그 염과 에스테르",29157020
스테아르산,2915702010
스테아르산 마그네슘,2915702020
스테아르산 연,2915702030
스테아르산 아연,2915702040
스테아르산 바륨,2915702050
스테아르산 카드뮴,2915702060
스테아르산 칼슘,2915702070
스테아르산 부틸,2915702080
네오데카노일 클로라이드와 피발로일클로라이드,2915901000
2-에틸헥소산,2915909010
2-에틸헥실클로로포르메이트,2915909020
과불화옥탄산(PFOA)과 그 염,2915909030
아크릴산,2916111000
아크릴산에틸,2916121000
아크릴산메틸,2916122000
아크릴산부틸,2916123000
아크릴산 2-에틸헥실,2916124000
메타아크릴산,2916131000
메타아크릴산메틸,2916141000
"올레산, 그 염과 에스테르",2916151000
"리놀레산, 그 염과 에스테르",2916152000
"리놀렌산, 그 염과 에스테르",2916153000
비나파크릴(ISO),2916160000
벤조산,2916311000
벤조산나트륨,2916312000
벤조산벤질,2916313000
과산화벤조일,2916321000
염화벤조일,2916322000
페닐아세트산과 그 염,2916340000
계피산,2916391000
옥살산,2917111000
옥살산의 염,2917112000
옥살산의 에스테르,2917113000
아디프산,2917121000
아디프산의 염,2917122000
아디프산의 에스테르,29171230
아디프산 디옥틸,2917123010
"아젤라산, 그 염과 에스테르",2917131000
"세바스산, 그 염과 에스테르",2917132000
무수말레산,2917140000
숙신산,2917192000
숙신산 나트륨,2917193000
"포화지환식ㆍ불포화지환식ㆍ시클로테르펜폴리카르복시산, 이들의 무수물(無水物)ㆍ할로겐화물ㆍ과산화물ㆍ과산화산, 이들의 유도체",2917200000
오르토프탈산 디-2-에틸헥실,2917321000
오르토프탈산디노닐,2917331000
오르토프탈산디데실,2917332000
오르토프탈산 디헵틸,2917341000
오르토프탈산 디이소데실,2917342000
오르토프탈산 디부틸,2917343000
무수프탈산,2917350000
테레프탈산,2917361000
테레프탈산디메틸,2917370000
이소프탈산,2917391000
트리옥틸트리메리테이트(T.O.T.M),2917392000
무수트리멜리트산,2917393000
락트산,2918111000
락트산의 염,2918112000
락트산의 에스테르,2918113000
타르타르산,2918120000
타르타르산의 염,2918131000
타르타르산의 에스테르,2918132000
시트르산,2918140000
시트르산의 염,2918151000
시트르산의 에스테르,2918152000
글루콘산,2918161000
글루콘산의 염,2918162000
글루콘산의 에스테르,2918163000
"2,2-디페닐-2-하이드록시아세트산(벤질산)",2918170000
클로로벤질레이트(ISO),2918180000
그 밖의 알코올관능의 카르복시산,29181910
말산,2918191010
그 밖의 알코올관능의 카르복시산의 염,2918192000
그 밖의 알코올관능의 카르복시산의 에스테르,2918193000
살리실산과 그 염,2918210000
"오르토-아세틸살리실산, 그 염과 에스테르",2918220000
그 밖의 살리실산의 에스테르,2918231000
그 밖의 살리실산에스테르의 염,2918232000
베타옥시나프토산과 그 염,2918291000
갈산,2918299010
파라히드록시 벤조산,2918299030
"2,4,5-티(ISO)(2,4,5-트리클로로페녹시아세트산), 그 염과 에스테르",2918910000
"트리스(2,3-디브로모프로필) 포스페이트",2919100000
인산에스테르,29199010
인산에스테르의 염,2919902000
디메틸 포스파이트,2920210000
디에틸 포스파이트,2920220000
트리메틸 포스파이트,2920230000
트리에틸 포스파이트,2920240000
황산에스테르의 것,29209091
황산디메틸,2920909110
탄산에스테르의 것,2920909200
메틸아민과 그 염,29211110
메틸아민,2921111010
메틸아민의 염,2921111020
디메틸아민과 그 염,29211120
디메틸아민,2921112010
디메틸아민의 염,2921112020
트리메틸아민과 그 염,29211130
트리메틸아민,2921113010
트리메틸아민의 염,2921113020
"2-(엔,엔-디메틸아미노)에틸클로라이드 염산염",2921120000
"2-(엔,엔-디에틸아미노)에틸클로라이드 염산염",2921130000
"2-(엔,엔-디이소프로필아미노)에틸클로라이드 염산염",2921140000
디에틸아민과 그 염,2921192000
디메틸라우릴아민,2921199010
에틸렌디아민,2921211000
에틸렌디아민의 염,2921212000
헥사메틸렌디아민,2921221000
헥사메틸렌디아민아디페이트,2921222000
디에틸렌 트리아민,2921291000
트리에틸렌 테트라아민,2921292000
시클로 헥실아민,2921301000
아닐린,2921411000
아닐린의 염,2921412000
아닐린의 니트로할로겐화 유도체,2921429020
파라-톨루이딘-메타-술폰산과 그 염,2921435000
2-클로로-파라-톨루이딘-5-술폰산과 그 염,2921436000
3-아미노-6-클로로톨루엔-4-술폰산과 그 염,2921437000
톨루이딘,2921439010
디페닐아민,2921441000
1-나프틸아민-4-술폰산과 그 염,2921451000
1-나프틸아민(알파-나프틸아민)과 그 염,2921459010
2-나프틸아민(베타-나프틸아민)과 그 염,2921459020
"2-나프틸아민-3,6,8-트리술폰산과 그 염",2921459030
"암페타민(INN)ㆍ벤즈페타민(INN)ㆍ덱스암페타민(INN)ㆍ에틸암페타민(INN)ㆍ펜캄파민(INN)ㆍ레페타민(INN)ㆍ레브암페타민(INN)ㆍ메페노렉스(INN)ㆍ펜터민(INN), 이들의 염",2921460000
엔-페닐-엔-이소프로필 파라-페닐렌디아민,2921511000
"엔-(1,3-디메틸 부틸)-엔-페닐-파라-페닐렌디아민",2921512000
오르토-페닐렌 디아민,2921519010
메타-페닐렌 디아민,2921519020
파라-페닐렌 디아민,2921519030
디아미노톨루엔,2921519040
"4,4´디아미노스틸벤-2,2´-디술폰산과 그 염",2921592000
모노에탄올아민,2922111000
모노에탄올아민의 염,2922112000
디에탄올아민,2922121000
디에탄올아민의 염,2922122000
덱스트로프로폭시펜(INN)과 그 염,2922140000
트리에탄올아민,2922150000
과불화옥탄 술폰산 디에탄올암모늄,2922160000
메틸디에탄올아민,2922171000
에틸디에탄올아민,2922172000
"2-(엔,엔-디이소프로필아미노)에탄올",2922180000
"엔,엔-디알킬(메틸, 에틸, 노르말-프로필 또는 이소프로필)2-아미노에탄올과 이들의 수소화된 염들",2922193000
7-아미노-1-나프톨-3-술폰산(감마 에시드)과 그 염,2922211000
"8-아미노-1-나프톨-3, 6-디술폰산(에이치 에시드)과 그 염",2922212000
2-아미노-5-나프톨-7-디술폰산(제이 에시드)과 그 염,2922213000
메타-아미노페놀,2922292000
페네티딘과 이들의 염,2922293000
암페프라몬(INN)ㆍ메타돈(INN)ㆍ노르메타돈(INN)과 이들의 염,2922310000
아미노 안트라퀴논의 유도체,2922393000
리신,2922411000
리신의 에스테르,2922412000
리신의 염과 리신에스테르의 염,2922413000
글루탐산,2922421000
글루탐산 나트륨,2922422000
그 밖의 글루탐산의 염,2922423000
안트라닐산과 그 염,2922430000
틸리딘(INN)과 그 염,2922440000
글리신,2922491000
알라닌,2922492000
류우신,2922493000
바린,2922494000
에틸파라아미노 벤조에이트,2922497000
세린,2922506000
콜린,2923101000
콜린의 염,2923102000
레시틴,2923201000
그 밖의 포스포아미노리피드,2923202000
과불화옥탄 술폰산 테트라에틸암모늄,2923300000
과불화옥탄 술폰산 디데실디메틸암모늄,2923400000
메프로바메이트(INN),2924110000
"플루오로아세트아미드(ISO), 모노크로토포스(ISO), 포스파미돈(ISO)",2924120000
디메틸포름아미드,2924191000
디메틸아세트아미드,2924192000
농약원제(農藥原劑)(「농약관리법」에 따라 등록된 것으로 한정한다),2924211000
2-아세트아미도벤조산(엔-아세틸 안트라닐산)과 그 염,2924230000
에치나메이트(INN),2924240000
아세트아닐리드와 그 유도체,29242910
아미노아세트아닐리드와 그 유도체,2924291010
아세트아미노펜,2924291020
아세토아세트아닐리드와 그 유도체,2924292000
염산리도카인,2924299010
"이오프로마이드, 이오파미돌, 이오메프롤, 이오헥솔, 이오버솔, 이오딕산올",2924299020
사카린,2925111000
사카린의 염,2925112000
구루테치미드(INN),2925120000
프탈이미드,2925191000
클로르디메포름(ISO),2925210000
디페닐구아니딘,2925291000
아크릴로니트릴,2926100000
1-시아노구아니딘(디시안디아미드),2926200000
"펜프로포렉스(INN)와 그 염, 메사돈(INN) 제조중간체(4-시아노-2-디메틸아미노-4,4-디페닐부탄)",2926300000
알파-페닐아세토아세토니트릴,2926400000
아세토니트릴,2926904000
디아조화합물,2927001
6-니트로-1-디아조-2-나프톨-4-술폰산,2927001100
아조화합물,2927002
아조디카본아미드,2927002100
아조이소부티로니트릴,2927002910
아족시화합물,2927003000
메틸에틸 케토옥심,2928003000
톨루엔 디이소시아네이트,2929101000
디페닐메탄 디이소시아네이트,2929102000
"2-(엔,엔-디메틸아미노) 에탄티올",2930100000
티오카르바메이트,29302010
디티오카르바메이트,29302020
티우람모노술파이드,2930301000
티우람디술파이드,2930302000
티우람테트라술파이드,2930303000
메티오닌,2930400000
"2-(엔,엔-디에틸아미노)에탄티올",2930600000
비스(2-하이드록시에틸)술파이드[티오디글리콜(INN)],2930700000
"알디카브(ISO), 캡타폴(ISO) 및 메타미도포스(ISO)",2930800000
포레이트(ISO),2930902010
"기타
",2930902090
황이 포함되어 있는 독가스,29309050
티오우레아,2930905030
메르캅탄,29309060
티오알코올,2930906010
그 밖의 티오에테르,29309070
티오아닐린,2930907020
티오산,2930909010
시스테인,2930909030
글루타티온,2930909050
"테트라메틸납, 테트라에틸납",2931100000
트리부틸틴 화합물,2931200000
디메틸 메틸포스포네이트,2931410000
디메틸 프로필포스포네이트,2931420000
디에틸 에틸포스포네이트,2931430000
메틸포스폰산,2931440000
메틸포스폰산과 (아미노이미노메틸)우레아의 염(1 : 1),2931450000
"2,4,6-트리프로필-1,3,5,2,4,6-트리옥사트리포스피난-2,4,6-트리옥사이드",2931460000
"(5-에틸-2-메틸-2-옥시도-1,3,2-디옥사포스피난-5-일)메틸 메틸 메틸포스포네이트",2931470000
"3,9-디메틸-2,4,8,10-테트라옥사-3,9-디포스파스피로[5.5] 운데칸 3,9-디옥사이드",2931480000
메틸포스포닉 디클로라이드,2931510000
프로필포스포닉 디클로라이드,2931520000
오-(3-클로로프로필) 오-[4-니트로-3-(트리플루오르메틸)페닐] 메틸포스포노티오네이트,2931530000
트리클로르폰(ISO),2931540000
유기-비소 화합물,2931902000
유기-인 화합물,2931903000
불소 화합물,2931904000
염소화합물,2931905000
디부틸 틴 옥사이드,2931909010
디에틸 알루미늄 클로라이드,2931909020
테트라히드로푸란,2932110000
2-푸르알데히드(푸르푸르알데히드),2932120000
푸르푸릴 알코올,2932131000
테트라히드로푸르푸릴 알코올,2932132000
수크랄로스,2932140000
쿠마린ㆍ메틸쿠마린ㆍ에틸쿠마린,29322010
쿠마린,2932201010
메틸쿠마린,2932201020
에틸쿠마린,2932201030
그 밖의 락톤,29322090
노나락톤,2932209010
운데카락톤,2932209020
부티로락톤,2932209030
산토닌,2932209040
페놀프탈레인,2932209050
글루쿠로노락톤,2932209060
탈수소초산과 그 염,2932209070
아세틸케텐(디케텐),2932209080
이소사프롤,2932910000
"1-(1,3-벤조디옥솔-5-일)프로판-2-온",2932920000
피페로날,2932930000
사프롤,2932940000
테트라히드로카나비놀(모든 이성체),2932950000
카보퓨란(ISO),2932960000
디옥산,2932991000
벤조푸란(쿠마론),2932992000
피라조론과 그 유도체,2933193000
히단토인,2933211000
히단토인의 유도체,2933212000
리시딘,2933291000
피리딘,2933311000
피리딘의 염,2933312000
피페리딘,2933321000
피페리딘의 염,2933329000
알펜타닐(INN)ㆍ아닐레리딘(INN)ㆍ베지트라마이드(INN)ㆍ브로마제팜(INN)ㆍ카펜타닐(INN)ㆍ디페녹신(INN)ㆍ디펜옥실레이트(INN)ㆍ디피파논(INN)ㆍ펜타닐(INN)ㆍ케토베미돈(INN)ㆍ메틸페니데이트(INN)ㆍ펜타조신(INN)ㆍ페치딘(INN)ㆍ페치딘(INN) 제조중간체 에이ㆍ펜사이클리딘(INN)(PCP)ㆍ페노페리딘(INN)ㆍ피프라드롤(INN)ㆍ피리트라미드(INN)ㆍ프로피람(INN)ㆍ레미펜타닐(INN)ㆍ트리메페리딘(INN)과 이들의 염,2933330000
그 밖의 펜타닐과 그 유도체,2933340000
3-퀴뉴클리디놀,2933350000
4-아닐리노-N-펜에틸피페리딘(ANPP),2933360000
엔-펜에틸-4-피페리돈(NPP),2933370000
3-하이드록시-1-메틸피페리딘,2933393000
레보파놀(INN)과 그 염,2933410000
피비니움파모에이트,2933491000
말로닐우레아(바르비투르산)와 그 염,2933520000
아로바르비탈(INN)ㆍ아모바르비탈(INN)ㆍ바르비탈(INN)ㆍ부탈비탈(INN)ㆍ부토바르비탈(INN)ㆍ싸이클로바르비탈(INN)ㆍ메틸페노바르비탈(INN)ㆍ펜토바르비탈(INN)ㆍ페노바르비탈(INN)ㆍ섹부타바르비탈(INN)ㆍ세코바르비탈(INN)ㆍ비닐비탈(INN)과 이들의 염,2933530000
그 밖의 말로닐우레아 유도체(바르비투르산)와 이들의 염,2933540000
로프라졸람(INN)ㆍ메크로콰론(INN)ㆍ메타콰론(INN)ㆍ지페프롤(INN)과 이들의 염,2933550000
"피리미딘, 그 염과 그 밖의 피리미딘고리(수소를 첨가하였는지에 상관없다) 구조를 가지는 화합물",2933592000
"피페라진, 그 염과 그 밖의 피페라진고리 구조를 가지는 화합물",2933593000
멜라민,2933610000
염화시아눌,2933691000
헥사메틸렌테트라민,2933692000
트리메틸렌 트리니트라민,2933699010
6-헥산락탐(에프시론-카프로락탐),2933710000
클로바잠(INN)과 메치푸리론(INN),2933720000
1-비닐-2-피롤리돈,2933793000
알프라졸람(INN)ㆍ카마제팜(INN)ㆍ클로르디아제폭사이드(INN)ㆍ클로나제팜(INN)ㆍ클로라제페이트ㆍ델로라제팜(INN)ㆍ디아제팜(INN)ㆍ에스타졸람(INN)ㆍ에틸로프라제페이트(INN)ㆍ플르디아제팜(INN)ㆍ플루니트라제팜(INN)ㆍ플루라제팜(INN)ㆍ할라제팜(INN)ㆍ로라제팜(INN)ㆍ로르메타제팜(INN)ㆍ마진돌(INN)ㆍ메다제팜(INN)ㆍ미다졸람(INN)ㆍ니메타제팜(INN)ㆍ니트라제팜(INN)ㆍ놀다제팜(INN)ㆍ옥사제팜(INN)ㆍ피나제팜(INN)ㆍ프라제팜(INN)ㆍ피로발레톤(INN)ㆍ테마제팜(INN)ㆍ테트라제팜(INN)ㆍ트리아졸람(INN)과 이들의 염,2933910000
인돌과 그 유도체,2933991000
아미노티아졸과 그 유도체,2934101000
머캐프토 벤조티아졸,2934205000
디벤조티아졸린 디술파이드,2934206000
페노티아진(티오디페닐아민),2934301000
아미노렉스(INN)ㆍ브로티졸람(INN)ㆍ클로티아제팜(INN)ㆍ클록사졸람(INN)ㆍ덱스트로모라마이드(INN)ㆍ할록사졸람(INN)ㆍ케타졸람(INN)ㆍ메소카브(INN)ㆍ옥사졸람(INN)ㆍ페몰린(INN)ㆍ펜디메트라진(INN)ㆍ펜메트라진(INN)ㆍ서펜타닐(INN)과 이들의 염,2934910000
모르포린,2934995000
"핵산, 이들의 염과 유도체",2934996000
7-아미노세팔로스포린산,2934997000
엔-메틸과불화옥탄 술폰아미드,2935100000
엔-에틸과불화옥탄 술폰아미드,2935200000
엔-에틸-엔-(2-히드록시에틸)과불화옥탄 술폰아미드,2935300000
엔-(2-히드록시에틸)-엔-메틸과불화옥탄 술폰아미드,2935400000
그 밖의 과불화옥탄 술폰아미드,2935500000
그 밖의 파라아미노벤젠 술폰아미드의 유도체,2935905000
비타민 A와 이들의 유도체,2936210000
비타민 B1과 이들의 유도체,2936220000
비타민 B2와 이들의 유도체,2936230000
디-판토텐산이나 디엘-판토텐산(비타민 B5)과 이들의 유도체,2936240000
비타민 B6와 이들의 유도체,2936250000
비타민 B12와 이들의 유도체,2936260000
아스코르브산,2936271000
아스코르브산나트륨,2936272000
아스코르브산 칼슘,2936273000
초산알파토코페롤,2936281000
비타민 B9과 이들의 유도체,29362910
비타민 B9,2936291010
비타민 D와 이들의 유도체,2936292000
비타민 H와 이들의 유도체,2936293000
비타민 K와 이들의 유도체,2936294000
니코틴아미드와 이들의 유도체,2936295000
프로비타민(혼합하지 아니한 것으로 한정한다),2936901000
소호 제2933.9호나 제2934.9호의 것,2937111000
인슐린과 그 염,2937120000
"소호 제2933.9호, 제2934.9호의 것",2937191000
코르티손,2937211000
히드로코르티손,2937212000
프레드니손,2937213000
프레드니소론,2937214000
코르티코스테로이드 호르몬의 할로겐화 유도체,2937220000
에스트로겐과 프로게스토겐,2937230000
소호 제2914.50호의 것,2937292000
"소호 제2918.19호, 제2918.9호의 것",2937501000
소호 제2934.9호의 것,2937502000
"카테콜아민 호르몬, 이들의 유도체와 이와 유사한 구조를 가지는 것",2937902
에피네프린,2937902100
소호 제2922.50호의 것,2937902910
아미노산 유도체,2937903000
루토시드(루틴),2938101000
루토시드의 유도체,2938102000
디기탈리스 글리코시드,2938901000
글리시리진과 글리시리제이트,2938902000
사포닌,2938903000
스테비오사이드,2938904000
모르핀,2939111000
에틸모르핀,2939112000
코데인,2939113000
양귀비 줄기 농축물(전중량의 100분의 50 이상의 알칼로이드를 함유하는 것으로 한정한다),2939114000
"기나의 알칼로이드와 이들의 유도체, 이들의 염",2939200000
카페인과 그 염,2939300000
에페드린,2939411000
에페드린의 염,2939419000
슈도에페드린(INN),2939421000
슈도에페드린의 염,2939429000
카틴(INN)과 그 염,2939430000
놀에페드린과 그 염,2939440000
레보메탐페타민ㆍ메탐페타민(INN)ㆍ메탐페타민 레이스메이트 및 이들의 염,2939450000
페네틸린(INN)과 그 염,2939510000
엘고메트린(INN),2939611000
엘고메트린(INN)의 염,2939619000
엘고타민(INN),2939621000
엘고타민(INN)의 염,2939629000
리세르그산,2939631000
리세르그산의 염,2939639000
"코카인ㆍ엑고닌, 이들의 염ㆍ에스테르ㆍ그 밖의 유도체",2939720000
니코틴과 그 염,2939791000
"비리디카틴, 루구로바신 에이, 스포리데스민 에이, 사이토칼라신 비, 테올로시딘 비4, 페니트렘 디, 로퀘포르틴, 사만다린, 에파비티딘, 카스토라민, 무스코피리딘, 코시넬린, 피라진, 다나이돈, 글로메린, 에필라크네네, 서브코시넬라 24-푼크타타, 바라신, 만자민, 콘볼루타민 디, 유디스토민, 프로시아닌",29398010
"히스트리오니코톡신, 테트로도톡신",2939802000
당류,29400010
갈락토오스,2940001010
소르보오스,2940001020
키실로오스,2940001030
당에테르ㆍ당아세탈ㆍ당에스테르와 이들의 염,29400020
히드록시프로필 슈크로오스,2940002010
페니실린 지(G) 칼륨,2941101000
페니실린 지(G) 나트륨,2941109010
페니실린 브이(V),2941109020
클로로 테트라사이클린,2941301000
염산 옥시 테트라사이클린,2941302000
염산 클로로 테트라사이클린,2941303000
"클로람페니콜과 그 유도체, 이들의 염",2941400000
에리즈로마이신 티오시아네이트,2941501000
그 밖의 유기화합물,2942000000
간장 추출물,3001202000
피부와 뼈(이식용으로 한정한다),30019010
인체의 것,3001901010
"선과 그 밖의 기관(건조한 것으로 한정하며, 분상으로 된 것인지에 상관없다)",30019020
웅담,3001902010
헤파린과 그 염,3001909010
면역혈청,3002122000
그 밖의 혈액 분획물,3002123000
"면역물품(혼합하지 않은 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)",3002130000
"면역물품(혼합된 것에 한정하며, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)",3002140000
"면역물품(일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것에 한정한다)",3002150000
백신(인체의약용으로 한정한다),3002410000
구제역 백신,3002421000
"독소, 톡소이드(toxoid), 크립토독소(cryptotoxin), 항독소(anti-toxin)",3002491000
미생물 배양체,3002492000
바이러스와 항바이러스,3002493000
기타[박테리오파지(bacteriophage)를 포함한다],3002494000
세포치료법용 제품,3002510000
사람의 피,3002901000
동물의 피(치료용ㆍ예방용ㆍ진단용으로 조제한 것으로 한정한다),3002902000
페니실린이나 이들의 유도체(페니실린산 구조를 가진 것)을 함유하는 것,3003101000
스트렙토마이신이나 이들의 유도체를 함유한 것,3003102000
기타(항생물질을 함유한 것으로 한정한다),3003200000
인슐린을 함유한 것,3003310000
부신피질 호르몬제제,3003395000
에페드린 또는 그 염을 함유한 것,3003410000
슈도에페드린(INN) 또는 그 염을 함유한 것,3003420000
놀에페드린 또는 그 염을 함유한 것,3003430000
기타(이 류의 소호주 제2호에 열거한 항말라리아 활성성분을 함유한 것에 한정한다),3003600000
아스피린제제,3003902000
비타민제제,3003903000
항결핵제ㆍ구충제ㆍ항암제,3004201000
클로람페니콜제제,3004209100
옥시테트라 사이클린제제,3004209300
코르티코스테로이드(corticosteroid) 호르몬을 함유한 것과 이들의 유도체나 그와 유사한 구조를 가지는 것,3004320000
뇌하수체 호르몬제제,30043910
뇌하수체 전엽 호르몬제제,3004391010
뇌하수체 후엽 호르몬제제,3004391020
갑상샘과 부갑상샘 호르몬제제,3004393000
부신수질 호르몬제제,3004395000
남성 호르몬제제,3004396000
난포와 황체 호르몬제제,3004397000
항암제,3004491000
"코카인제제, 맥각알칼로이드제제와 니코틴제제",30044920
코카인제제,3004492010
맥각알칼로이드제제,3004492020
니코틴제제,3004492030
아트로핀과 호마트로핀제제,3004493000
비타민 A제제,3004501000
비타민 B제제,30045020
비타민 B1제제,3004502010
비타민 C제제,3004503000
비타민 D제제,3004504000
항히스타민제제,3004909200
반창고,3005101000
탈지면,3005901000
거즈,3005902000
붕대,3005903000
조제 드레싱과 습포제,3005904000
살균한 외과용 캣거트(catgut)와 이와 유사한 살균한 봉합재(살균한 외과용이나 치과용 흡수성 실을 포함한다),30061010
살균한 외과용 캣거트(catgut),3006101010
살균한 봉합재(살균한 외과용이나 치과용 흡수성 실을 포함한다),3006101020
살균한 외과용 수술상처의 봉합용 접착제,3006102000
살균한 라미나리아와 살균한 라미나리아의 텐트,3006103000
살균한 외과용이나 치과용 흡수성 지혈제,3006104000
살균한 외과용이나 치과용 유착방지제(흡수성이 있는지에 상관없다),30061050
플라스틱으로 만든 것,3006105010
메리야스 편물이나 뜨개질 편물로 만든 것,3006105020
엑스선 검사용 조영제,3006301000
진단용 시약(환자 투여용),3006302000
치과용 시멘트,3006401000
치과용 충전제,3006402000
뼈 형성용 시멘트,3006403000
구급상자와 구급대,3006500000
제2937호의 호르몬과 그 밖의 제품이나 살정자제(殺精子劑)를 기본 재료로 하는 피임성의 화학조제품,3006600000
외과수술이나 신체검사를 할 때 신체 각 부분의 윤활제로 사용되거나 신체와 의료기기 사이의 접착약품으로서 사람이나 수의약에 사용되는 겔(gel) 조제품,3006700000
장루(腸瘻)용으로 인정되는 기구,3006910000
제3001호의 것,30069210
제3002호의 것,30069220
"혈액 분획물의 조제품, 의약품으로서 일정한 투여량으로 한 것 또는 소매용 모양이나 포장을 한 것",3006922010
